Site,Season,Year,WD,Date,Water Temp.,Conductivity,TDS,Salinity,pH,Turbidity,DO,BOD,Nitrite,Nitrate,Ammonium,DIN,TN,phosphate,TP,Total Quality,Catchment.x,HESY2,MI_QUALITY,IPS,Index Value,Diat_QUALITY,HEFI,FISH_QUALITY,Lat,Lon,Elevation,Dist. To Source (m),Slope (%),Mean Jan Temp,Int. Type R-M,Catch. Area At Site (Km²),Near tural (%),Artificial (%),Agriculture (%)
ELKE,SUMMER,2020,Ανατόλ. Στερεά Ελλάδα (07),26/08/2020,21.81,498,250,0.24,7.78,17.2,55.85,3.9,0.044,0.816,0.391,1.251,1.572,0.127,0.146,MODERATE,Spercheios,0.78,GOOD,,,,0.66,GOOD,38.81332521,22.49479135,13,84394,0.05,6.5,RM3,1392.61,61.25,0.66,33.71
ERKY,WINTER,2020,Ανατόλ. Στερεά Ελλάδα (07),1/2/2020,15.16,475,237,0.23,8,4.92,85.5,3.4,0.066,0.904,0.973,1.943,2.352,0.099,0.112,MODERATE,,,,,,,,,38.46027098,22.93156164,107,14234.65,0.23,7.4,RM1,88.22,0,25.57,74.43
ORXO,WINTER,2020,Ανατόλ. Στερεά Ελλάδα (07),1/2/2020,14.5,474,236,0.23,7.67,1.23,90.5,0,0.005,2.605,0.06,2.67,3.036,0.015,0.017,GOOD,,,,,,,,,38.511566,22.957303,102,1448,0.11,7.3,RM2,325.99,,,
P004,SUMMER,2019,Θεσσαλία (08),20/08/2019,21.3,1699,849,14.7,7.25,10.8,,4.5,0.003,0.047,0.015,0.065,0.283,0.013,0.019,HIGH,Pinios Thess.,,POOR,9.9,,MODERATE,0.24,POOR,39.921888,22.701567,3,230883.09,0.02,6,VERY_LARGE,10721.1,30.15,2.35,64.39
KALLONI,SPRING,2018,Νήσοι Αιγαίου (14),5/5/2018,20.4,231,142.7,13.9,7.12,11.5,,5.9,0.044,0.064,0.4,0.508,0.844,0.499,0.566,MODERATE,Atoliko Aigaio,0.67,MODERATE,,,,,,39.214879,26.193914,3,10734.89,0.03,8,RM1,30.22,79.9,1.64,18.46
P004,SUMMER,2020,Θεσσαλία (08),21/08/2020,21.6,14640,6932,8.2,7.2,9.79,98.5,5.6,0.002,0.055,0.028,0.085,0.255,0.033,0.037,HIGH,Pinios Thess.,,POOR,8.3,,POOR,0.33,POOR,39.921888,22.701567,3,230883.09,0.02,6,VERY_LARGE,10721.1,30.15,2.35,64.39
P004,SUMMER,2021,Θεσσαλία (08),19/07/2021,22.28,9241,4618,5.17,7.22,8.43,70.3,8.7,0.001,0.098,0.039,0.138,0.35,0.027,0.032,HIGH,,,POOR,9.2,,MODERATE,,,39.921888,22.701567,3,230883.09,0.02,6,VERY_LARGE,10721.1,30.15,2.35,64.39
TANOS,WINTER,2021,Ανατόλ. Πελοπόννησος (03),29/01/2021,10.8,8905,4454,5.01,7.84,2.64,103.2,0,0.011,1.049,0.035,1.095,1.255,0.005,0.005,GOOD,,,,,,,,,37.429188,22.752727,4,75856.19,0.23,10,RM5,1143.83,47.4,0.36,52.24
LOUDIAS_DW,WINTER,2020,Κεντρ. Μακεδονία (10),23/01/2020,6.78,8556,4268,4.77,7.82,4.54,,0.6,0.074,1.186,0.881,2.141,2.472,0.336,0.363,POOR,,,,,,,,,40.57743889,22.63039722,1,68566.99,0.01,4.3,RM3,1136.43,8.68,5.45,85.87
P004,SPRING,2020,Θεσσαλία (08),19/05/2020,21.5,7040,3521,3.9,7.7,38.1,,,0.013,0.687,0.013,0.713,1.092,0.106,0.118,GOOD,,,,,,,,,39.921888,22.701567,3,230883.09,0.02,6,VERY_LARGE,10721.1,30.15,2.35,64.39
GAZANOS_DW,SPRING,2018,Κρήτη (13),31/05/2018,22,6342,4162,3.9,9.19,30.5,19,3.9,0.007,0.172,0.027,0.205,0.439,0.052,0.068,GOOD,Remata Voreiou Tmimatos Chanion - Rethymnou,0.67,MODERATE,8,0.490797546,MODERATE,,,35.33528542,25.063828,8,21305.2,0.32,12,RM2,188.32,3.45,0,93.92
KALLONI,SUMMER,2018,Νήσοι Αιγαίου (14),26/07/2018,30.9,,,3.83,7.74,12.03,95.01,4.8,0.005,0.002,0.054,0.061,0.565,0.396,0.418,MODERATE,Atoliko Aigaio,0.56,MODERATE,10.2,0.6375,MODERATE,,,39.214879,26.193914,3,10734.89,0.03,8,RM1,30.22,79.9,1.64,18.46
LOUDIAS_DW,WINTER,2019,Κεντρ. Μακεδονία (10),2/3/2019,9.33,4992,2495,2.7,8.32,15.5,88.4,0,0.052,1.108,0.53,1.69,1.699,0.294,0.319,MODERATE,,,,,,,,,40.57743889,22.63039722,1,68566.99,0.01,4.3,RM3,1136.43,8.68,5.45,85.87
LASPO_DW,WINTER,2021,Θράκη (12),12/2/2021,11.83,3707,1853,1.97,7.28,61.8,56.3,10.4,0.327,2.203,12.5,15.03,19.188,2.249,2.403,BAD,,,,,,,,,40.94023,24.91563,2,30072.42,0.02,5.1,RM2,203.16,,,
P004,SPRING,2021,Θεσσαλία (08),24/05/2021,20.4,3493,1682,1.76,7.69,20.6,81,8.1,0.009,1.031,0.038,1.078,1.344,0.146,0.153,GOOD,,,MODERATE,9.5,,MODERATE,,,39.921888,22.701567,3,230883.09,0.02,6,VERY_LARGE,10721.1,30.15,2.35,64.39
FILIPP,SUMMER,2018,Ανατόλ. Μακεδονία (11),14/09/2018,22.76,371.3,236.3,1.67,7.35,7.92,64.9,4.8,0.01,0.484,0.038,0.532,0.742,0.047,0.065,GOOD,Strymos,0.67,MODERATE,10.9,0.668711656,MODERATE,0.19,BAD,40.998714,24.165827,46,42406.72,0.06,3.7,RM2,248.48,44.54,5.79,49.66
KRYA_DW,SUMMER,2021,Αττική (06),15/09/2021,22.66,2626,1316,1.56,3.95,,59,28.4,0.021,0.282,0.16,0.463,0.622,0.011,0.024,GOOD,,,,,,,,,38.08636136,23.7662182,192,8494.2,0.72,8.1,RM1,26.4,53.71,25.89,20.4
INDUSTRY,SPRING,2020,Ανατόλ. Στερεά Ελλάδα (07),3/6/2020,19.38,2890,1450,1.51,8.24,19.6,,,0.104,8.566,0.458,9.128,9.696,0.012,0.035,MODERATE,,,,,,,,,38.3056496,23.6236035,74,20666.25,0.3,8,RM2,435.73,21.84,0.33,77.84
MESSINI,SUMMER,2021,Δυτ. Πελοπόννησος (01),2/6/2021,19.65,2967,1306,1.36,7.97,4.5,83.7,,0.003,0.463,0.035,0.501,0.601,0.012,0.018,GOOD,,0.89,GOOD,12.2,0.748466258,GOOD,0.11,BAD,37.03694208,22.02115082,1,52645.68,0.07,10,RM2,597.44,23.58,2.16,72.65
ELASSON_MD,SUMMER,2021,Θεσσαλία (08),13/07/2021,26.65,2651,1326,1.36,6.36,157,12.5,820,0.021,0.027,22.8,22.848,35.232,22.2,26.469,POOR,,0.33,POOR,4.4,0.26993865,POOR,,,39.87154345,22.14997069,245,35852,0.38,4.3,RM2,247.33,46.69,7.07,46.24
EVROS_UP,SUMMER,2018,Θράκη (12),10/9/2018,22.88,291.3,185.3,1.3,8.37,49.4,95,1.1,0.005,1.315,0.013,1.333,1.823,0.169,0.191,MODERATE,Evros,,BAD,4.9,,BAD,0.26,POOR,41.737417,26.235344,52,297388.89,0.03,2,VERY_LARGE,21453,,,
ALMYR_DW,SUMMER,2021,Θεσσαλία (08),31/08/2021,30.17,2444,1223,1.25,8.03,30.7,81.4,18.5,1.007,0.673,71.5,73.18,73.34,0.24,0.342,POOR,,0.56,MODERATE,5.5,0.337423313,POOR,,,39.18198732,22.77727457,37,36569.66,0.5,7.2,RM2,154.15,54.53,0,45.47
LOUDIAS_DW,WINTER,2021,Κεντρ. Μακεδονία (10),5/2/2021,10.88,2400,1202,1.25,7.85,7.44,44.5,2,0.064,1.746,0.813,2.623,2.993,0.262,0.281,POOR,,,,,,,,,40.57743889,22.63039722,1,68566.99,0.01,4.3,RM3,1136.43,8.68,5.45,85.87
KRYA_DW,SUMMER,2020,Αττική (06),25/08/2020,20.93,2292,1146,1.17,6.22,10.3,3.6,0,0.12,1.36,0.071,1.551,1.932,0.085,0.109,MODERATE,Kifisos Att.,,,,,,,,38.08636136,23.7662182,192,8494.2,0.72,8.1,RM1,26.4,53.71,25.89,20.4
MAVRONER,SUMMER,2019,Δυτ. Μακεδονία (09),6/9/2019,23.68,2220,1110,1.17,7.49,55.3,0,104,0.017,0.123,27.3,27.441,29.136,3.768,3.84,POOR,Mavroneri,0.44,POOR,1.5,0.09202454,BAD,,,40.215563,22.562989,7,50925.88,0.08,5.4,RM2,636.45,56.29,0.97,42.4
