Site,Date,Lat,Lon,Prec1,Prec7,Prec30,MaxP7,MaxP30
ALMYR_DW,19/05/2020,39.18198732,22.77727457,0,0,15.51,0,4.99
ANTHEM_DW,24/05/2019,40.516981,22.991656,6.64,7.11,17.62,6.64,6.64
ANTHEM_DW,27/05/2021,40.516981,22.991656,0,0.14,5.98,0.11,3.38
ANTHEM_DW,1/9/2021,40.516981,22.991656,0.16,3.12,27.14,2.12,11.07
ANTHEM_DW,18/09/2018,40.516981,22.991656,1.82,2.32,38.8,1.82,30.56
ANTHEM_DW,2/2/2020,40.516981,22.991656,0,1.31,8.91,0.77,4
ANTHEM_DW,27/02/2018,40.516981,22.991656,17.97,49.12,113.27,17.97,29.47
BOGDANO,19/05/2019,40.72882778,23.06355,0,13.72,33.52,7.12,7.12
INDUSTRY,25/08/2020,38.3056496,23.6236035,0,0.01,11.81,0.01,5.26
KOILADA,11/5/2019,40.549144,21.714947,0.27,6.05,58.63,3.22,12.17
KOILADA,13/05/2021,40.549144,21.714947,0.32,2.3,41.54,1.95,15.32
KOILADA,16/09/2018,40.549144,21.714947,0,0.28,26.38,0.21,23.33
KOILADA,17/09/2019,40.549144,21.714947,0,2.73,7.73,1.7,2.3
KOILADA,1/9/2020,40.549144,21.714947,0,2.29,61.57,2.29,21.44
KOSTARAZI,21/01/2020,40.43514962,21.32095144,0.02,0.33,31.55,0.18,21.39
KRYA_DW,14/05/2018,38.08636136,23.7662182,0.13,14.6,46.27,6.12,24.25
LASPO_DW,12/5/2020,40.94023,24.91563,0.15,13.56,40.19,12.23,12.23
LASPO_DW,23/09/2021,40.94023,24.91563,4.02,5.01,14.6,4.02,5.72
LASPO_DW,22/02/2018,40.94023,24.91563,6.14,6.96,95.96,6.14,20.66
LASPO_DW,12/2/2021,40.94023,24.91563,12.69,35.91,140.07,22.67,38.97
LASPO_UP,29/05/2018,40.972236,24.895455,0,1.77,32.73,0.69,7.41
LASPO_UP,28/05/2019,40.972236,24.895455,0,14.76,66.65,11.74,20.02
LASPO_UP,10/9/2019,40.972236,24.895455,0,0.12,5.92,0.12,2.87
LITHEO_DW,5/5/2018,39.53782804,21.89974918,3.18,13.14,20.47,6.13,6.13
LITHEO_DW,4/6/2019,39.53782804,21.89974918,3.22,5.8,33.83,3.22,16.76
LITHEO_DW,18/02/2019,39.53782804,21.89974918,0,7.45,104.95,4.8,28.6
LITHEO_DW,18/02/2020,39.53782804,21.89974918,0,23.42,33.82,17.63,17.63
MESOHOR,23/05/2019,41.09726759,25.36603061,0,3.39,36.49,2.57,8.81
MESOHOR,21/09/2018,41.09726759,25.36603061,0,0.12,11.16,0.07,6.08
MESOHOR,4/9/2021,41.09726759,25.36603061,0.02,5.74,11.46,5.18,5.18
PORTAIK,12/7/2021,39.526511,21.7122,1.36,1.62,19.76,1.36,5.18
VOZVOZ,12/5/2020,41.01488751,25.31924269,0.18,8.74,29.2,8.12,8.91
3POTAM,2/5/2018,40.53310984,22.19779814,0.65,4.23,15.7,2.75,6.03
3POTAM,12/5/2019,40.53310984,22.19779814,0,3.23,62.35,2.22,17.87
