Site,Date,Lat,Lon,Temp1,Temp7,Temp30,MaxT1,MaxT7,MaxT30,MinT1,MinT7,MinT30
ALMYR_DW,19/05/2020,39.18198732,22.77727457,22.99,23.68,18.32,27.97,35.63,35.63,17.63,15.33,6.87
ANTHEM_DW,24/05/2019,40.516981,22.991656,19.98,19.43,17.03,23.85,23.85,23.85,16.23,13.54,10.5
ANTHEM_DW,27/05/2021,40.516981,22.991656,21.71,20.1,18.64,25.88,27.49,27.49,17.81,13.57,10.09
ANTHEM_DW,1/9/2021,40.516981,22.991656,24.24,25.52,26.78,26.59,29.18,35.85,20.38,20.38,20.38
ANTHEM_DW,18/09/2018,40.516981,22.991656,22.27,23.01,24.56,24.57,28.38,30.89,19.9,18.68,18.68
ANTHEM_DW,2/2/2020,40.516981,22.991656,9.56,8.89,5.83,14.86,14.86,14.86,5.44,3.74,-0.4
ANTHEM_DW,27/02/2018,40.516981,22.991656,2.22,6.7,8.18,3.09,9.99,14.29,1.53,1.53,1.53
BOGDANO,19/05/2019,40.72882778,23.06355,20.4,17.78,15.94,24.77,24.77,24.77,15.98,11.26,7.54
INDUSTRY,25/08/2020,38.3056496,23.6236035,25.85,25.98,26.28,31.33,33.3,36.03,19.91,19.11,18.64
KOILADA,11/5/2019,40.549144,21.714947,14.06,12.51,11.89,19.2,20.72,24.53,8.23,4.8,2.45
KOILADA,13/05/2021,40.549144,21.714947,17.85,16.64,13.75,24.11,25.25,27.52,11.96,8.87,1.08
KOILADA,16/09/2018,40.549144,21.714947,21.44,20.07,21.83,26.62,26.62,29.42,15.81,13.44,13.44
KOILADA,17/09/2019,40.549144,21.714947,22.55,21.23,23.58,29.2,29.2,31.89,14.71,12.93,12.93
KOILADA,1/9/2020,40.549144,21.714947,26.93,24.62,23.38,33.75,33.75,33.75,19.75,15.97,14.83
KOSTARAZI,21/01/2020,40.43514962,21.32095144,-0.45,1.36,0.9,3.54,9.35,11.38,-3.04,-3.54,-5.35
KRYA_DW,14/05/2018,38.08636136,23.7662182,17.69,17.71,18.46,22.82,23.89,29.32,12,12,7.85
LASPO_DW,12/5/2020,40.94023,24.91563,17.23,15.65,14.1,19.7,19.7,19.7,14.84,10.1,4.71
LASPO_DW,23/09/2021,40.94023,24.91563,17.09,21.69,22.96,19.27,26.17,30.37,13.71,13.71,13.71
LASPO_DW,22/02/2018,40.94023,24.91563,6.8,7.25,7.53,8.12,11.41,13.83,5.62,3.25,-0.79
LASPO_DW,12/2/2021,40.94023,24.91563,12.92,11.67,8.3,15.34,15.34,15.34,9.6,6.24,-2.58
LASPO_UP,29/05/2018,40.972236,24.895455,22.3,21.74,19.93,25.07,26.68,26.68,18.83,16.87,13.1
LASPO_UP,28/05/2019,40.972236,24.895455,20.3,18.73,16.76,23.64,23.64,23.64,15.2,13.4,9.5
LASPO_UP,10/9/2019,40.972236,24.895455,23.8,25.01,26.31,26.64,30.74,33.09,20.33,20.3,19.1
LITHEO_DW,5/5/2018,39.53782804,21.89974918,19.02,19.84,18.25,24.84,27.84,29.68,12.87,11.2,7
LITHEO_DW,4/6/2019,39.53782804,21.89974918,17.34,20.43,18.72,23.57,28.15,29.89,12.46,12.46,7.73
LITHEO_DW,18/02/2019,39.53782804,21.89974918,4.34,5.53,6.9,11.46,15.11,16.67,-2.26,-2.26,-3.28
LITHEO_DW,18/02/2020,39.53782804,21.89974918,7.47,9.18,6.92,13.78,16.08,17.38,0.72,0.72,-2.85
MESOHOR,23/05/2019,41.09726759,25.36603061,19.26,18.6,16.24,24.43,24.43,24.43,12.83,10.83,6.66
MESOHOR,21/09/2018,41.09726759,25.36603061,20.63,21.89,24.33,26.47,29.23,34.3,14.4,14.4,14.4
MESOHOR,4/9/2021,41.09726759,25.36603061,21.46,23.82,25.74,25.17,31.64,34.87,17.76,17.63,16.8
PORTAIK,12/7/2021,39.526511,21.7122,27.95,29.26,27.59,32.73,37.18,39.92,23.89,19.39,12.98
VOZVOZ,12/5/2020,41.01488751,25.31924269,17.53,15.97,14.37,21.37,21.37,21.44,13.68,8.8,4.12
3POTAM,2/5/2018,40.53310984,22.19779814,18.61,18.57,15.4,24.7,25.54,25.54,10.69,9.24,2.09
3POTAM,12/5/2019,40.53310984,22.19779814,17.12,14.06,12.71,23.21,23.21,23.49,8.89,4.22,2.78
3POTAM,11/5/2020,40.53310984,22.19779814,17.87,14.89,13.37,23.25,23.85,23.85,12.48,4.79,1
3POTAM,15/05/2021,40.53310984,22.19779814,17.19,16.74,14.9,24.04,24.5,28.48,9.18,9.18,1.67
3POTAM,8/3/2018,40.53310984,22.19779814,9.37,6.41,4.72,17.15,17.15,17.15,3.44,-4.66,-4.66
3POTAM,22/02/2019,40.53310984,22.19779814,6.12,4.66,4.58,12.87,14.71,14.71,-0.21,-2.97,-4.74
3POTAM,23/01/2020,40.53310984,22.19779814,1.3,2.05,1.48,10.54,10.54,11.49,-3.84,-3.84,-4.85
3POTAM,26/02/2021,40.53310984,22.19779814,9.39,6.74,4.27,15.27,16.76,17.11,2.32,-3.3,-15.76
3POTAM,30/08/2021,40.53310984,22.19779814,24.95,25.21,27.1,30.57,31.5,39.18,18.81,18.81,17.7
3POTAMO,25/04/2018,37.36144199,22.09469877,16.94,15.62,13.84,25.07,25.07,27.14,7.3,6.22,2.68
3POTAMO,15/04/2021,37.36144199,22.09469877,11.68,9.85,9.21,17.15,18.79,19.26,7.33,0.73,0.12
3POTAMO,27/02/2018,37.36144199,22.09469877,7.1,8.02,7.29,9.94,14.14,14.36,5.27,3.93,-0.83
A10,21/05/2018,40.657406,22.697451,21.05,21.51,21.09,25.31,27.57,29.68,16.22,14.66,11.66
A10,17/05/2019,40.657406,22.697451,17.64,18.05,16.41,22,26.12,26.12,12.46,11.38,7.11
A10,3/10/2018,40.657406,22.697451,19.02,16.88,22.46,25,25,32.54,13.12,9.5,9.5
A10,23/07/2019,40.657406,22.697451,27,24.48,26.86,32.56,32.56,37.65,20.67,17.32,17.32
A10,25/05/2021,40.657406,22.697451,24.91,21.06,19.36,33.67,33.67,33.67,16.03,12.6,9.18
A10,25/02/2018,40.657406,22.697451,7.1,8.16,7.37,8.3,11.98,15.58,5.91,4.69,-2.57
A10,5/2/2021,40.657406,22.697451,9.65,8.08,6.33,16.39,16.39,17.21,3.65,-0.86,-6.09
